#[0]-k [1]-P_k(z=0) [2]-P_k(z=3) [3]-P_k(z=20)
9.865989E-02 1.072607E+04 1.042644E+03 3.785858E+01 
1.013583E-01 1.019624E+04 9.841563E+02 3.569117E+01 
1.041305E-01 9.665143E+03 9.254114E+02 3.351598E+01 
1.069786E-01 9.159341E+03 8.693699E+02 3.144127E+01 
1.099045E-01 8.702824E+03 8.186816E+02 2.956390E+01 
1.129105E-01 8.312092E+03 7.751806E+02 2.795080E+01 
1.159987E-01 7.993679E+03 7.396395E+02 2.662999E+01 
1.191714E-01 7.743249E+03 7.116312E+02 2.558558E+01 
1.224308E-01 7.545779E+03 6.895101E+02 2.475709E+01 
1.257794E-01 7.380801E+03 6.710319E+02 2.406218E+01 
1.292195E-01 7.221502E+03 6.532135E+02 2.339189E+01 
1.327538E-01 7.041539E+03 6.331165E+02 2.263928E+01 
1.363847E-01 6.823544E+03 6.088120E+02 2.173453E+01 
1.401149E-01 6.564337E+03 5.799328E+02 2.066472E+01 
1.439472E-01 6.276220E+03 5.477857E+02 1.947759E+01 
1.478842E-01 5.980485E+03 5.147319E+02 1.825901E+01 
1.519290E-01 5.700173E+03 4.833687E+02 1.710330E+01 
1.560844E-01 5.454093E+03 4.558415E+02 1.608824E+01 
1.603534E-01 5.252160E+03 4.333152E+02 1.525596E+01 
1.647392E-01 5.092243E+03 4.155996E+02 1.459931E+01 
1.692449E-01 4.960444E+03 4.011310E+02 1.406127E+01 
1.738739E-01 4.836616E+03 3.876124E+02 1.355840E+01 
1.786295E-01 4.702494E+03 3.729439E+02 1.301476E+01 
1.835151E-01 4.548373E+03 3.559850E+02 1.238937E+01 
1.885344E-01 4.376418E+03 3.369497E+02 1.169016E+01 
1.936910E-01 4.199972E+03 3.173618E+02 1.097218E+01 
1.989886E-01 4.036126E+03 2.992130E+02 1.030725E+01 
2.044311E-01 3.895195E+03 2.837483E+02 9.740198E+00 
2.100224E-01 3.777373E+03 2.710300E+02 9.273090E+00 
2.157667E-01 3.674382E+03 2.600948E+02 8.871035E+00 
2.216681E-01 3.573534E+03 2.494445E+02 8.480032E+00 
2.277309E-01 3.465832E+03 2.379665E+02 8.060102E+00 
2.339595E-01 3.351216E+03 2.256400E+02 7.610598E+00 
2.403584E-01 3.236577E+03 2.132921E+02 7.161254E+00 
2.469324E-01 3.130302E+03 2.019429E+02 6.748598E+00 
2.536862E-01 3.036642E+03 1.921501E+02 6.392549E+00 
2.606247E-01 2.952033E+03 1.834948E+02 6.077982E+00 
2.677530E-01 2.870324E+03 1.752036E+02 5.777147E+00 
2.750763E-01 2.787404E+03 1.667473E+02 5.471109E+00 
2.825998E-01 2.703554E+03 1.581561E+02 5.160974E+00 
2.903291E-01 2.622890E+03 1.499494E+02 4.865252E+00 
2.982699E-01 2.548005E+03 1.424827E+02 4.596603E+00 
3.064278E-01 2.478406E+03 1.357056E+02 4.353148E+00 
3.148088E-01 2.411570E+03 1.292873E+02 4.123059E+00 
3.234191E-01 2.345358E+03 1.229308E+02 3.895737E+00 
3.322648E-01 2.280390E+03 1.167188E+02 3.674120E+00 
3.413525E-01 2.218178E+03 1.108651E+02 3.465777E+00 
3.506888E-01 2.159458E+03 1.054857E+02 3.274785E+00 
3.602804E-01 2.102923E+03 1.003941E+02 3.094476E+00 
3.701343E-01 2.047715E+03 9.546986E+01 2.920569E+00 
3.802578E-01 1.994024E+03 9.073756E+01 2.753900E+00 
3.906581E-01 1.942290E+03 8.627233E+01 2.597128E+00 
4.013429E-01 1.892593E+03 8.208927E+01 2.450732E+00 
4.123200E-01 1.844358E+03 7.809948E+01 2.311533E+00 
4.235972E-01 1.797409E+03 7.428168E+01 2.178789E+00 
4.351830E-01 1.751925E+03 7.066715E+01 2.053570E+00 
4.470855E-01 1.707852E+03 6.724836E+01 1.935571E+00 
4.593137E-01 1.665013E+03 6.399931E+01 1.823860E+00 
4.718763E-01 1.623325E+03 6.091003E+01 1.718073E+00 
4.847824E-01 1.582762E+03 5.797941E+01 1.618148E+00 
4.980416E-01 1.543281E+03 5.520213E+01 1.523873E+00 
5.116634E-01 1.504811E+03 5.256801E+01 1.434869E+00 
5.256578E-01 1.467284E+03 5.006749E+01 1.350785E+00 
5.400350E-01 1.430648E+03 4.769353E+01 1.271358E+00 
5.548053E-01 1.394862E+03 4.544039E+01 1.196369E+00 
5.699797E-01 1.359884E+03 4.330253E+01 1.125607E+00 
5.855691E-01 1.325677E+03 4.127429E+01 1.058856E+00 
6.015848E-01 1.292201E+03 3.934992E+01 9.959007E-01 
6.180386E-01 1.259421E+03 3.752396E+01 9.365356E-01 
6.349425E-01 1.227303E+03 3.579124E+01 8.805658E-01 
6.523086E-01 1.195816E+03 3.414684E+01 8.278066E-01 
6.701498E-01 1.164933E+03 3.258611E+01 7.780833E-01 
6.884789E-01 1.134630E+03 3.110463E+01 7.312302E-01 
7.073093E-01 1.104883E+03 2.969824E+01 6.870898E-01 
7.266548E-01 1.075671E+03 2.836298E+01 6.455128E-01 
7.465293E-01 1.046975E+03 2.709511E+01 6.063578E-01 
7.669475E-01 1.018777E+03 2.589105E+01 5.694904E-01 
7.879241E-01 9.910634E+02 2.474739E+01 5.347837E-01 
8.094744E-01 9.638213E+02 2.366092E+01 5.021174E-01 
8.316142E-01 9.370388E+02 2.262857E+01 4.713771E-01 
8.543594E-01 9.107053E+02 2.164749E+01 4.424548E-01 
8.777268E-01 8.848114E+02 2.071496E+01 4.152478E-01 
9.017333E-01 8.593484E+02 1.982840E+01 3.896590E-01 
9.263964E-01 8.343091E+02 1.898540E+01 3.655965E-01 
9.517341E-01 8.096888E+02 1.818361E+01 3.429730E-01 
9.777647E-01 7.854847E+02 1.742079E+01 3.217060E-01 
1.004507E+00 7.616941E+02 1.669483E+01 3.017174E-01 
1.031981E+00 7.383149E+02 1.600376E+01 2.829333E-01 
1.060207E+00 7.153454E+02 1.534571E+01 2.652840E-01 
1.089204E+00 6.927842E+02 1.471893E+01 2.487034E-01 
1.118995E+00 6.706301E+02 1.412175E+01 2.331294E-01 
1.149600E+00 6.488823E+02 1.355262E+01 2.185030E-01 
1.181043E+00 6.275416E+02 1.301005E+01 2.047688E-01 
1.213345E+00 6.066111E+02 1.249261E+01 1.918741E-01 
1.246531E+00 5.860940E+02 1.199894E+01 1.797694E-01 
1.280625E+00 5.659931E+02 1.152778E+01 1.684082E-01 
1.315651E+00 5.463107E+02 1.107794E+01 1.577461E-01 
1.351635E+00 5.270489E+02 1.064828E+01 1.477417E-01 
1.388603E+00 5.082092E+02 1.023777E+01 1.383557E-01 
1.426582E+00 4.897928E+02 9.845392E+00 1.295511E-01 
1.465601E+00 4.718006E+02 9.470224E+00 1.212930E-01 
1.505686E+00 4.542353E+02 9.111360E+00 1.135486E-01 
1.546868E+00 4.371001E+02 8.767944E+00 1.062869E-01 
1.589176E+00 4.203971E+02 8.439172E+00 9.947876E-02 
1.632641E+00 4.041276E+02 8.124286E+00 9.309659E-02 
1.677295E+00 3.882922E+02 7.822576E+00 8.711456E-02 
1.723170E+00 3.728905E+02 7.533372E+00 8.150830E-02 
1.770300E+00 3.579214E+02 7.256045E+00 7.625487E-02 
1.818719E+00 3.433833E+02 6.990002E+00 7.133268E-02 
1.868462E+00 3.292739E+02 6.734681E+00 6.672142E-02 
1.919566E+00 3.155915E+02 6.489546E+00 6.240196E-02 
1.972068E+00 3.023335E+02 6.254089E+00 5.835631E-02 
2.026006E+00 2.894965E+02 6.027835E+00 5.456757E-02 
2.081418E+00 2.770766E+02 5.810335E+00 5.101983E-02 
2.138347E+00 2.650689E+02 5.601168E+00 4.769814E-02 
2.196832E+00 2.534683E+02 5.399936E+00 4.458845E-02 
2.256917E+00 2.422687E+02 5.206264E+00 4.167757E-02 
2.318646E+00 2.314638E+02 5.019800E+00 3.895308E-02 
2.382062E+00 2.210469E+02 4.840208E+00 3.640333E-02 
2.447214E+00 2.110110E+02 4.667173E+00 3.401738E-02 
2.514147E+00 2.013485E+02 4.500395E+00 3.178493E-02 
2.582911E+00 1.920518E+02 4.339594E+00 2.969634E-02 
2.653555E+00 1.831126E+02 4.184504E+00 2.774254E-02 
2.726132E+00 1.745227E+02 4.034874E+00 2.591503E-02 
2.800694E+00 1.662734E+02 3.890469E+00 2.420581E-02 
2.877295E+00 1.583561E+02 3.751064E+00 2.260739E-02 
2.955991E+00 1.507618E+02 3.616450E+00 2.111275E-02 
3.036840E+00 1.434815E+02 3.486428E+00 1.971527E-02 
3.119900E+00 1.365061E+02 3.360812E+00 1.840877E-02 
3.205231E+00 1.298265E+02 3.239424E+00 1.718744E-02 
3.292897E+00 1.234335E+02 3.122096E+00 1.604585E-02 
3.382960E+00 1.173181E+02 3.008671E+00 1.497887E-02 
3.475487E+00 1.114712E+02 2.898999E+00 1.398173E-02 
3.570544E+00 1.058838E+02 2.792936E+00 1.304995E-02 
3.668201E+00 1.005469E+02 2.690349E+00 1.217931E-02 
3.768529E+00 9.545178E+01 2.591111E+00 1.136588E-02 
3.871601E+00 9.058961E+01 2.495105E+00 1.060597E-02 
3.977493E+00 8.595180E+01 2.402218E+00 9.896123E-03 
4.086280E+00 8.152990E+01 2.312343E+00 9.233093E-03 
4.198043E+00 7.731564E+01 2.225378E+00 8.613848E-03 
4.312863E+00 7.330091E+01 2.141226E+00 8.035547E-03 
4.430823E+00 6.947782E+01 2.059795E+00 7.495528E-03 
4.552009E+00 6.583864E+01 1.980996E+00 6.991300E-03 
4.676510E+00 6.237585E+01 1.904746E+00 6.520529E-03 
4.804416E+00 5.908207E+01 1.830968E+00 6.081032E-03 
4.935821E+00 5.595015E+01 1.759588E+00 5.670765E-03 
5.070819E+00 5.297313E+01 1.690535E+00 5.287813E-03 
5.209510E+00 5.014431E+01 1.623741E+00 4.930388E-03 
5.351994E+00 4.745717E+01 1.559141E+00 4.596813E-03 
5.498375E+00 4.490543E+01 1.496671E+00 4.285521E-03 
5.648760E+00 4.248302E+01 1.436270E+00 3.995047E-03 
5.803258E+00 4.018408E+01 1.377879E+00 3.724019E-03 
5.961982E+00 3.800294E+01 1.321443E+00 3.471154E-03 
6.125046E+00 3.593411E+01 1.266911E+00 3.235251E-03 
6.292571E+00 3.397234E+01 1.214232E+00 3.015189E-03 
6.464678E+00 3.211256E+01 1.163356E+00 2.809919E-03 
6.641492E+00 3.034991E+01 1.114235E+00 2.618460E-03 
6.823141E+00 2.867973E+01 1.066823E+00 2.439895E-03 
7.009760E+00 2.709755E+01 1.021073E+00 2.273367E-03 
7.201482E+00 2.559909E+01 9.769398E-01 2.118077E-03 
7.398448E+00 2.418023E+01 9.343796E-01 1.973274E-03 
7.600801E+00 2.283703E+01 8.933516E-01 1.838262E-03 
7.808689E+00 2.156571E+01 8.538157E-01 1.712385E-03 
8.022263E+00 2.036266E+01 8.157322E-01 1.595034E-03 
8.241678E+00 1.922444E+01 7.790620E-01 1.485640E-03 
8.467094E+00 1.814775E+01 7.437664E-01 1.383668E-03 
