#[0]-k [1]-P_k(z=0) [2]-P_k(z=3) [3]-P_k(z=20)
1.013583E-04 1.833057E+03 1.857797E+02 6.700617E+00 
1.041305E-04 1.881079E+03 1.906505E+02 6.876369E+00 
1.069786E-04 1.930357E+03 1.956488E+02 7.056727E+00 
1.099045E-04 1.980925E+03 2.007779E+02 7.241809E+00 
1.129105E-04 2.032817E+03 2.060412E+02 7.431740E+00 
1.159987E-04 2.086069E+03 2.114422E+02 7.626645E+00 
1.191714E-04 2.140717E+03 2.169845E+02 7.826656E+00 
1.224308E-04 2.196797E+03 2.226717E+02 8.031904E+00 
1.257794E-04 2.254344E+03 2.285077E+02 8.242527E+00 
1.292195E-04 2.313396E+03 2.344962E+02 8.458664E+00 
1.327538E-04 2.373991E+03 2.406411E+02 8.680458E+00 
1.363847E-04 2.436168E+03 2.469467E+02 8.908059E+00 
1.401149E-04 2.499966E+03 2.534169E+02 9.141615E+00 
1.439472E-04 2.565427E+03 2.600561E+02 9.381284E+00 
1.478842E-04 2.632592E+03 2.668686E+02 9.627223E+00 
1.519290E-04 2.701505E+03 2.738588E+02 9.879595E+00 
1.560844E-04 2.772212E+03 2.810314E+02 1.013857E+01 
1.603534E-04 2.844758E+03 2.883911E+02 1.040431E+01 
1.647392E-04 2.919191E+03 2.959426E+02 1.067700E+01 
1.692449E-04 2.995558E+03 3.036909E+02 1.095682E+01 
1.738739E-04 3.073911E+03 3.116410E+02 1.124395E+01 
1.786295E-04 3.154299E+03 3.197983E+02 1.153859E+01 
1.835151E-04 3.236776E+03 3.281678E+02 1.184092E+01 
1.885344E-04 3.321394E+03 3.367552E+02 1.215114E+01 
1.936910E-04 3.408207E+03 3.455659E+02 1.246946E+01 
1.989886E-04 3.497272E+03 3.546056E+02 1.279609E+01 
2.044311E-04 3.588644E+03 3.638802E+02 1.313124E+01 
2.100224E-04 3.682382E+03 3.733956E+02 1.347514E+01 
2.157667E-04 3.778545E+03 3.831580E+02 1.382800E+01 
2.216681E-04 3.877195E+03 3.931735E+02 1.419005E+01 
2.277309E-04 3.978394E+03 4.034487E+02 1.456154E+01 
2.339595E-04 4.082205E+03 4.139901E+02 1.494270E+01 
2.403584E-04 4.188694E+03 4.248044E+02 1.533379E+01 
2.469324E-04 4.297927E+03 4.358984E+02 1.573506E+01 
2.536862E-04 4.409973E+03 4.472792E+02 1.614676E+01 
2.606247E-04 4.524901E+03 4.589538E+02 1.656916E+01 
2.677530E-04 4.642783E+03 4.709297E+02 1.700253E+01 
2.750763E-04 4.763691E+03 4.832143E+02 1.744716E+01 
2.825998E-04 4.887700E+03 4.958153E+02 1.790333E+01 
2.903291E-04 5.014887E+03 5.087406E+02 1.837133E+01 
2.982699E-04 5.145328E+03 5.219982E+02 1.885147E+01 
3.064278E-04 5.279104E+03 5.355962E+02 1.934404E+01 
3.148088E-04 5.416294E+03 5.495430E+02 1.984936E+01 
3.234191E-04 5.556982E+03 5.638470E+02 2.036775E+01 
3.322648E-04 5.701251E+03 5.785169E+02 2.089953E+01 
3.413525E-04 5.849188E+03 5.935616E+02 2.144505E+01 
3.506888E-04 6.000880E+03 6.089902E+02 2.200464E+01 
3.602804E-04 6.156418E+03 6.248119E+02 2.257865E+01 
3.701343E-04 6.315892E+03 6.410362E+02 2.316745E+01 
3.802578E-04 6.479396E+03 6.576726E+02 2.377139E+01 
3.906581E-04 6.647025E+03 6.747309E+02 2.439085E+01 
4.013429E-04 6.818873E+03 6.922209E+02 2.502621E+01 
4.123200E-04 6.995041E+03 7.101528E+02 2.567785E+01 
4.235972E-04 7.175627E+03 7.285369E+02 2.634617E+01 
4.351830E-04 7.360735E+03 7.473836E+02 2.703158E+01 
4.470855E-04 7.550468E+03 7.667037E+02 2.773448E+01 
4.593137E-04 7.744932E+03 7.865081E+02 2.845530E+01 
4.718763E-04 7.944235E+03 8.068078E+02 2.919448E+01 
4.847824E-04 8.148486E+03 8.276140E+02 2.995243E+01 
4.980416E-04 8.357796E+03 8.489379E+02 3.072960E+01 
5.116634E-04 8.572276E+03 8.707910E+02 3.152645E+01 
5.256578E-04 8.792041E+03 8.931849E+02 3.234342E+01 
5.400350E-04 9.017208E+03 9.161317E+02 3.318099E+01 
5.548053E-04 9.247895E+03 9.396433E+02 3.403962E+01 
5.699797E-04 9.484223E+03 9.637319E+02 3.491982E+01 
5.855691E-04 9.726313E+03 9.884100E+02 3.582205E+01 
6.015848E-04 9.974289E+03 1.013690E+03 3.674683E+01 
6.180386E-04 1.022827E+04 1.039584E+03 3.769464E+01 
6.349425E-04 1.048839E+04 1.066106E+03 3.866599E+01 
6.523086E-04 1.075477E+04 1.093267E+03 3.966138E+01 
6.701498E-04 1.102753E+04 1.121082E+03 4.068134E+01 
6.884789E-04 1.130682E+04 1.149562E+03 4.172639E+01 
7.073093E-04 1.159276E+04 1.178722E+03 4.279707E+01 
7.266548E-04 1.188548E+04 1.208575E+03 4.389391E+01 
7.465293E-04 1.218512E+04 1.239134E+03 4.501746E+01 
7.669475E-04 1.249182E+04 1.270413E+03 4.616824E+01 
7.879241E-04 1.280569E+04 1.302425E+03 4.734678E+01 
8.094744E-04 1.312688E+04 1.335183E+03 4.855361E+01 
8.316142E-04 1.345551E+04 1.368702E+03 4.978928E+01 
8.543594E-04 1.379173E+04 1.402994E+03 5.105433E+01 
8.777268E-04 1.413567E+04 1.438074E+03 5.234929E+01 
9.017333E-04 1.448746E+04 1.473956E+03 5.367472E+01 
9.263964E-04 1.484725E+04 1.510652E+03 5.503116E+01 
9.517341E-04 1.521515E+04 1.548178E+03 5.641915E+01 
9.777647E-04 1.559132E+04 1.586546E+03 5.783919E+01 
1.004507E-03 1.597588E+04 1.625770E+03 5.929182E+01 
1.031981E-03 1.636896E+04 1.665864E+03 6.077754E+01 
1.060207E-03 1.677069E+04 1.706842E+03 6.229688E+01 
1.089204E-03 1.718122E+04 1.748717E+03 6.385033E+01 
1.118995E-03 1.760065E+04 1.791502E+03 6.543839E+01 
1.149600E-03 1.802914E+04 1.835212E+03 6.706158E+01 
1.181043E-03 1.846680E+04 1.879858E+03 6.872036E+01 
1.213345E-03 1.891374E+04 1.925454E+03 7.041516E+01 
1.246531E-03 1.937009E+04 1.972011E+03 7.214640E+01 
1.280625E-03 1.983595E+04 2.019540E+03 7.391447E+01 
1.315651E-03 2.031142E+04 2.068053E+03 7.571976E+01 
1.351635E-03 2.079662E+04 2.117561E+03 7.756265E+01 
1.388603E-03 2.129165E+04 2.168074E+03 7.944347E+01 
1.426582E-03 2.179659E+04 2.219603E+03 8.136256E+01 
1.465601E-03 2.231155E+04 2.272156E+03 8.332022E+01 
1.505686E-03 2.283659E+04 2.325744E+03 8.531672E+01 
1.546868E-03 2.337181E+04 2.380373E+03 8.735229E+01 
1.589176E-03 2.391725E+04 2.436049E+03 8.942713E+01 
1.632641E-03 2.447297E+04 2.492780E+03 9.154140E+01 
1.677295E-03 2.503904E+04 2.550571E+03 9.369524E+01 
1.723170E-03 2.561549E+04 2.609426E+03 9.588876E+01 
1.770300E-03 2.620235E+04 2.669351E+03 9.812203E+01 
1.818719E-03 2.679966E+04 2.730347E+03 1.003951E+02 
1.868462E-03 2.740744E+04 2.792416E+03 1.027079E+02 
1.919566E-03 2.802568E+04 2.855560E+03 1.050605E+02 
1.972068E-03 2.865436E+04 2.919777E+03 1.074527E+02 
2.026006E-03 2.929347E+04 2.985065E+03 1.098844E+02 
2.081418E-03 2.994296E+04 3.051421E+03 1.123555E+02 
2.138347E-03 3.060278E+04 3.118839E+03 1.148656E+02 
2.196832E-03 3.127287E+04 3.187315E+03 1.174147E+02 
2.256917E-03 3.195316E+04 3.256842E+03 1.200022E+02 
2.318646E-03 3.264356E+04 3.327410E+03 1.226279E+02 
2.382062E-03 3.334395E+04 3.399010E+03 1.252913E+02 
2.447214E-03 3.405419E+04 3.471626E+03 1.279919E+02 
2.514147E-03 3.477413E+04 3.545243E+03 1.307291E+02 
2.582911E-03 3.550357E+04 3.619843E+03 1.335024E+02 
2.653555E-03 3.624234E+04 3.695409E+03 1.363111E+02 
2.726132E-03 3.699022E+04 3.771918E+03 1.391543E+02 
2.800694E-03 3.774697E+04 3.849348E+03 1.420314E+02 
2.877295E-03 3.851235E+04 3.927673E+03 1.449415E+02 
2.955991E-03 3.928608E+04 4.006867E+03 1.478835E+02 
3.036840E-03 4.006783E+04 4.086896E+03 1.508563E+02 
3.119900E-03 4.085723E+04 4.167726E+03 1.538586E+02 
3.205231E-03 4.165392E+04 4.249319E+03 1.568889E+02 
3.292897E-03 4.245748E+04 4.331634E+03 1.599459E+02 
3.382960E-03 4.326748E+04 4.414629E+03 1.630280E+02 
3.475487E-03 4.408347E+04 4.498259E+03 1.661335E+02 
3.570544E-03 4.490497E+04 4.582477E+03 1.692608E+02 
3.668201E-03 4.573146E+04 4.667231E+03 1.724078E+02 
3.768529E-03 4.656238E+04 4.752465E+03 1.755726E+02 
3.871601E-03 4.739713E+04 4.838118E+03 1.787528E+02 
3.977493E-03 4.823506E+04 4.924123E+03 1.819461E+02 
4.086280E-03 4.907551E+04 5.010414E+03 1.851498E+02 
4.198043E-03 4.991777E+04 5.096918E+03 1.883613E+02 
4.312863E-03 5.076112E+04 5.183561E+03 1.915779E+02 
4.430823E-03 5.160480E+04 5.270267E+03 1.947967E+02 
4.552009E-03 5.244802E+04 5.356953E+03 1.980146E+02 
4.676510E-03 5.328994E+04 5.443536E+03 2.012284E+02 
4.804416E-03 5.412960E+04 5.529918E+03 2.044347E+02 
4.935821E-03 5.496601E+04 5.616000E+03 2.076298E+02 
5.070819E-03 5.579813E+04 5.701677E+03 2.108096E+02 
5.209510E-03 5.662490E+04 5.786842E+03 2.139704E+02 
5.351994E-03 5.744520E+04 5.871385E+03 2.171080E+02 
5.498375E-03 5.825792E+04 5.955192E+03 2.202182E+02 
5.648760E-03 5.906188E+04 6.038145E+03 2.232967E+02 
5.803258E-03 5.985589E+04 6.120125E+03 2.263390E+02 
5.961982E-03 6.063865E+04 6.200998E+03 2.293402E+02 
6.125046E-03 6.140871E+04 6.280619E+03 2.322951E+02 
6.292571E-03 6.216463E+04 6.358840E+03 2.351980E+02 
6.464678E-03 6.290491E+04 6.435509E+03 2.380434E+02 
6.641492E-03 6.362805E+04 6.510471E+03 2.408256E+02 
6.823141E-03 6.433252E+04 6.583570E+03 2.435389E+02 
7.009760E-03 6.501674E+04 6.654647E+03 2.461773E+02 
7.201482E-03 6.567917E+04 6.723541E+03 2.487350E+02 
7.398448E-03 6.631817E+04 6.790086E+03 2.512058E+02 
7.600801E-03 6.693192E+04 6.854095E+03 2.535827E+02 
7.808689E-03 6.751854E+04 6.915375E+03 2.558587E+02 
8.022263E-03 6.807615E+04 6.973734E+03 2.580266E+02 
8.241678E-03 6.860287E+04 7.028978E+03 2.600791E+02 
8.467094E-03 6.909683E+04 7.080914E+03 2.620092E+02 
8.698675E-03 6.955616E+04 7.129352E+03 2.638096E+02 
8.936591E-03 6.997903E+04 7.174101E+03 2.654734E+02 
9.181013E-03 7.036363E+04 7.214974E+03 2.669935E+02 
9.432121E-03 7.070797E+04 7.251768E+03 2.683625E+02 
9.690097E-03 7.100994E+04 7.284264E+03 2.695722E+02 
9.955129E-03 7.126743E+04 7.312246E+03 2.706147E+02 
1.022741E-02 7.147842E+04 7.335505E+03 2.714821E+02 
1.050714E-02 7.164096E+04 7.353838E+03 2.721671E+02 
1.079451E-02 7.175315E+04 7.367051E+03 2.726623E+02 
1.108975E-02 7.181323E+04 7.374958E+03 2.729610E+02 
1.139307E-02 7.181951E+04 7.377386E+03 2.730567E+02 
1.170468E-02 7.177040E+04 7.374167E+03 2.729432E+02 
1.202481E-02 7.166431E+04 7.365132E+03 2.726143E+02 
1.235370E-02 7.149973E+04 7.350124E+03 2.720640E+02 
1.269158E-02 7.127533E+04 7.328996E+03 2.712871E+02 
1.303870E-02 7.098994E+04 7.301624E+03 2.702787E+02 
1.339532E-02 7.064256E+04 7.267899E+03 2.690348E+02 
1.376169E-02 7.023240E+04 7.227733E+03 2.675523E+02 
1.413809E-02 6.975886E+04 7.181057E+03 2.658284E+02 
1.452477E-02 6.922159E+04 7.127827E+03 2.638616E+02 
1.492204E-02 6.862070E+04 7.068047E+03 2.616520E+02 
1.533017E-02 6.795688E+04 7.001778E+03 2.592018E+02 
1.574946E-02 6.723105E+04 6.929105E+03 2.565141E+02 
1.618022E-02 6.644432E+04 6.850134E+03 2.535929E+02 
1.662276E-02 6.559805E+04 6.764994E+03 2.504427E+02 
1.707740E-02 6.469376E+04 6.673834E+03 2.470693E+02 
1.754449E-02 6.373320E+04 6.576824E+03 2.434787E+02 
1.802434E-02 6.271831E+04 6.474157E+03 2.396782E+02 
1.851732E-02 6.165158E+04 6.366080E+03 2.356769E+02 
1.902378E-02 6.053764E+04 6.253059E+03 2.314920E+02 
1.954410E-02 5.938177E+04 6.135628E+03 2.271433E+02 
2.007864E-02 5.818918E+04 6.014313E+03 2.226503E+02 
2.062781E-02 5.696496E+04 5.889633E+03 2.180322E+02 
2.119200E-02 5.571407E+04 5.762090E+03 2.133076E+02 
2.177161E-02 5.444132E+04 5.632174E+03 2.084946E+02 
2.236708E-02 5.315130E+04 5.500355E+03 2.036107E+02 
2.297884E-02 5.184851E+04 5.367092E+03 1.986728E+02 
2.360733E-02 5.053915E+04 5.233024E+03 1.937047E+02 
2.425301E-02 4.923167E+04 5.099024E+03 1.887387E+02 
2.491635E-02 4.793400E+04 4.965911E+03 1.838050E+02 
2.559783E-02 4.665331E+04 4.834430E+03 1.789312E+02 
2.629795E-02 4.539608E+04 4.705254E+03 1.741423E+02 
2.701722E-02 4.416811E+04 4.578986E+03 1.694605E+02 
2.775616E-02 4.297454E+04 4.456160E+03 1.649057E+02 
2.851531E-02 4.181989E+04 4.337251E+03 1.604954E+02 
2.929523E-02 4.070828E+04 4.222692E+03 1.562456E+02 
3.009647E-02 3.964346E+04 4.112886E+03 1.521713E+02 
3.091964E-02 3.862872E+04 4.008185E+03 1.482854E+02 
3.176531E-02 3.766689E+04 3.908897E+03 1.445993E+02 
3.263412E-02 3.676048E+04 3.815291E+03 1.411230E+02 
3.352669E-02 3.591127E+04 3.727564E+03 1.378636E+02 
3.444367E-02 3.511768E+04 3.645553E+03 1.348153E+02 
3.538573E-02 3.437664E+04 3.568941E+03 1.319661E+02 
3.635355E-02 3.368529E+04 3.497431E+03 1.293051E+02 
3.734785E-02 3.303965E+04 3.430613E+03 1.268170E+02 
3.836934E-02 3.243268E+04 3.367755E+03 1.244747E+02 
3.941878E-02 3.185723E+04 3.308123E+03 1.222511E+02 
4.049691E-02 3.130484E+04 3.250832E+03 1.201134E+02 
4.160453E-02 3.076538E+04 3.194821E+03 1.180223E+02 
4.274245E-02 3.022862E+04 3.139008E+03 1.159379E+02 
4.391149E-02 2.968343E+04 3.082197E+03 1.138160E+02 
4.511250E-02 2.911890E+04 3.023220E+03 1.116134E+02 
4.634636E-02 2.852421E+04 2.960931E+03 1.092880E+02 
4.761397E-02 2.789006E+04 2.894303E+03 1.068020E+02 
4.891625E-02 2.720921E+04 2.822466E+03 1.041233E+02 
5.025414E-02 2.647505E+04 2.744814E+03 1.012299E+02 
5.162863E-02 2.568347E+04 2.661037E+03 9.811053E+01 
5.304072E-02 2.483715E+04 2.571198E+03 9.476772E+01 
5.449142E-02 2.394077E+04 2.475758E+03 9.121872E+01 
5.598180E-02 2.300119E+04 2.375580E+03 8.749549E+01 
5.751295E-02 2.203136E+04 2.271937E+03 8.364525E+01 
5.908597E-02 2.104652E+04 2.166441E+03 7.972743E+01 
6.070202E-02 2.006342E+04 2.060944E+03 7.581043E+01 
6.236226E-02 1.910067E+04 1.957452E+03 7.196819E+01 
6.406792E-02 1.817759E+04 1.857984E+03 6.827517E+01 
6.582023E-02 1.731118E+04 1.764422E+03 6.480059E+01 
6.762046E-02 1.651571E+04 1.678374E+03 6.160372E+01 
6.946993E-02 1.580309E+04 1.601062E+03 5.872950E+01 
7.136999E-02 1.517950E+04 1.533213E+03 5.620450E+01 
7.332201E-02 1.464553E+04 1.474975E+03 5.403409E+01 
7.532743E-02 1.419689E+04 1.425901E+03 5.220153E+01 
7.738769E-02 1.382399E+04 1.384937E+03 5.066780E+01 
7.950430E-02 1.351072E+04 1.350437E+03 4.937209E+01 
8.167880E-02 1.323745E+04 1.320242E+03 4.823475E+01 
8.391278E-02 1.298136E+04 1.291848E+03 4.716367E+01 
8.620786E-02 1.271804E+04 1.262629E+03 4.606245E+01 
8.856571E-02 1.242451E+04 1.230127E+03 4.484112E+01 
9.098805E-02 1.208303E+04 1.192411E+03 4.342916E+01 
9.347665E-02 1.168446E+04 1.148401E+03 4.178750E+01 
9.603330E-02 1.122875E+04 1.098100E+03 3.991665E+01 
